"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2000","207.20","231.50","234.00","202.20","10.16K","-9.95%"
"09/01/2000","230.10","222.00","250.30","212.10","8.66K","3.74%"
"08/01/2000","221.80","248.10","249.80","213.20","9.18K","-11.28%"
"07/01/2000","250.00","263.00","267.00","235.00","8.72K","-9.26%"
"06/01/2000","275.50","295.90","308.30","268.00","10.79K","-7.24%"
"05/01/2000","297.00","301.00","303.00","272.60","10.63K","-0.83%"
"04/01/2000","299.50","326.00","329.50","292.20","10.78K","-7.76%"
"03/01/2000","324.70","335.00","342.80","317.00","11.24K","-1.67%"
"02/01/2000","330.20","345.50","360.50","329.50","13.10K","-4.73%"
"01/01/2000","346.60","352.00","359.80","323.20","10.30K","-0.69%"
"12/01/1999","349.00","354.00","354.00","324.60","10.61K","-0.80%"
"11/01/1999","351.80","320.30","360.50","317.20","10.44K","9.87%"
"10/01/1999","320.20","302.00","325.50","285.60","10.58K","6.38%"
"09/01/1999","301.00","343.30","355.60","291.00","12.38K","-12.07%"
"08/01/1999","342.30","382.90","382.90","338.10","15.38K","-8.21%"
"07/01/1999","372.90","404.00","440.80","358.00","15.98K","-7.61%"
"06/01/1999","403.60","349.00","419.70","346.00","17.13K","15.58%"
"05/01/1999","349.20","344.60","364.80","336.00","11.20K","1.54%"
"04/01/1999","343.90","337.50","352.10","314.30","13.79K","1.90%"
"03/01/1999","337.50","337.00","346.00","315.00","12.55K","0.93%"
"02/01/1999","334.40","343.00","343.00","323.00","13.76K","-2.65%"
"01/01/1999","343.50","303.00","366.00","299.90","12.85K","12.40%"
"12/01/1998","305.60","289.20","315.00","288.70","10.60K","5.20%"
"11/01/1998","290.50","261.80","340.00","260.70","11.05K","11.43%"
"10/01/1998","260.70","253.00","276.50","253.00","12.32K","1.92%"
"09/01/1998","255.80","284.00","294.00","255.50","9.26K","-11.15%"
"08/01/1998","287.90","304.00","316.00","287.90","13.45K","-4.45%"
"07/01/1998","301.30","293.00","303.50","265.00","11.00K","2.69%"
"06/01/1998","293.40","264.00","300.00","260.80","15.22K","7.71%"
"05/01/1998","272.40","298.00","307.80","271.60","9.32K","-8.90%"
"04/01/1998","299.00","314.00","345.40","294.00","14.75K","-6.27%"
"03/01/1998","319.00","297.30","325.40","280.60","10.38K","8.06%"
"02/01/1998","295.20","307.00","325.70","290.00","12.41K","-3.43%"
"01/01/1998","305.70","285.50","311.00","273.80","10.12K","8.06%"
"12/01/1997","282.90","327.40","328.80","280.60","12.47K","-12.95%"
"11/01/1997","325.00","299.00","330.00","291.00","7.37K","9.69%"
"10/01/1997","296.30","296.00","328.40","295.00","15.02K","-0.10%"
"09/01/1997","296.60","356.70","364.40","290.50","11.07K","-16.85%"
"08/01/1997","356.70","342.00","365.90","341.10","12.93K","3.78%"
"07/01/1997","343.70","380.60","380.90","332.00","11.13K","-9.07%"
"06/01/1997","378.00","387.50","393.10","347.10","16.32K","-0.66%"
"05/01/1997","380.50","401.90","404.40","370.10","9.75K","-5.61%"
"04/01/1997","403.10","378.00","417.50","376.50","16.32K","5.94%"
"03/01/1997","380.50","386.00","389.70","355.00","9.73K","-0.78%"
"02/01/1997","383.50","408.50","421.50","382.10","13.41K","-6.78%"
"01/01/1997","411.40","426.00","450.50","395.00","14.90K","-3.13%"
"12/01/1996","424.70","397.00","424.70","377.00","14.67K","8.29%"
"11/01/1996","392.20","430.00","488.00","368.00","12.08K","-7.06%"
"10/01/1996","422.00","329.00","424.60","328.40","18.15K","28.11%"
"09/01/1996","329.40","411.00","437.10","329.40","16.80K","-20.47%"
"08/01/1996","414.20","345.00","415.50","342.50","17.84K","19.81%"
"07/01/1996","345.70","335.00","362.60","324.10","10.62K","5.88%"
"06/01/1996","326.50","370.00","371.50","309.80","17.80K","-11.28%"
"05/01/1996","368.00","350.60","381.50","333.20","13.99K","4.96%"
"04/01/1996","350.60","304.00","351.60","290.10","13.85K","15.94%"
"03/01/1996","302.40","280.00","322.20","273.80","10.21K","8.00%"
"02/01/1996","280.00","305.50","321.80","275.70","8.26K","-8.94%"
"01/01/1996","307.50","270.00","318.20","243.70","10.29K","13.26%"
"12/01/1995","271.50","273.90","288.20","264.00","8.91K","-0.84%"
"11/01/1995","273.80","251.00","277.00","240.00","7.42K","8.78%"
"10/01/1995","251.70","273.00","286.00","231.00","10.87K","-8.17%"
"09/01/1995","274.10","285.50","305.80","267.70","7.83K","-4.73%"
"08/01/1995","287.70","258.00","292.00","250.80","9.87K","12.51%"
"07/01/1995","255.70","254.50","288.00","242.10","6.28K","-0.89%"
"06/01/1995","258.00","237.60","263.00","209.60","10.26K","6.88%"
"05/01/1995","241.40","255.50","264.90","227.10","7.47K","-5.11%"
"04/01/1995","254.40","267.00","280.00","253.10","6.91K","-5.25%"
"03/01/1995","268.50","294.00","302.00","267.30","6.86K","-10.83%"
"02/01/1995","301.10","308.50","337.90","301.10","7.90K","-2.59%"
"01/01/1995","309.10","318.00","324.00","291.60","6.26K","-1.31%"
"12/01/1994","313.20","339.90","343.00","287.00","7.34K","-7.34%"
"11/01/1994","338.00","325.00","356.00","304.00","5.08K","3.68%"
"10/01/1994","326.00","297.00","332.30","278.00","7.42K","8.74%"
"09/01/1994","299.80","351.00","354.00","279.00","6.01K","-13.10%"
"08/01/1994","345.00","340.50","370.90","329.70","7.96K","1.32%"
"07/01/1994","340.50","345.50","383.00","332.10","4.86K","-0.79%"
"06/01/1994","343.20","395.60","397.00","333.00","7.75K","-13.70%"
"05/01/1994","397.70","336.50","402.50","328.00","7.06K","19.61%"
"04/01/1994","332.50","377.10","380.60","296.10","8.83K","-12.64%"
"03/01/1994","380.60","430.50","439.50","375.20","6.71K","-11.45%"
"02/01/1994","429.80","381.50","453.00","381.50","8.08K","12.07%"
"01/01/1994","383.50","477.00","477.00","382.50","7.54K","-19.94%"
"12/01/1993","479.00","426.00","488.00","415.00","8.79K","11.97%"
